2025-10-17 23:25:53 | INFO | monitoring_service | 📂 File logging enabled: /logs/monitoring_service.log
2025-10-17 23:25:53 | INFO | monitoring_service | 📂 Logging initialized (stdout + optional file)
2025-10-17 23:25:53 | INFO | monitoring_service | ✅ Loaded config from: /app/config/config.yaml
2025-10-17 23:25:53 | INFO | monitoring_service | 🩺 Monitoring targets: ['data_service', 'strategy_service', 'execution_service', 'risk_service', 'auth_service']
2025-10-17 23:25:53 | INFO | monitoring_service | 🚀 Starting Monitoring Service...
2025-10-17 23:25:53 | INFO | monitoring_service | 🕒 Background health monitor started (interval=30s)
2025-10-17 23:25:53 | ERROR | monitoring_service | ❌ data_service unreachable (http://data_service:8080/health) → All connection attempts failed
2025-10-17 23:25:56 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → [Errno -2] Name or service not known
2025-10-17 23:25:58 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:26:01 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:26:01 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.003s]
2025-10-17 23:26:34 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.003s]
2025-10-17 23:26:37 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → [Errno -2] Name or service not known
2025-10-17 23:26:39 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:26:42 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:26:42 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.004s]
2025-10-17 23:27:15 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:27:22 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → 
2025-10-17 23:27:24 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:27:27 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:27:27 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:28:00 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:28:02 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → [Errno -2] Name or service not known
2025-10-17 23:28:05 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:28:08 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:28:08 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:28:41 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.003s]
2025-10-17 23:28:43 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → [Errno -2] Name or service not known
2025-10-17 23:28:46 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:28:49 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:28:49 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:29:22 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.003s]
2025-10-17 23:29:24 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → [Errno -2] Name or service not known
2025-10-17 23:29:27 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:29:33 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:29:33 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.003s]
2025-10-17 23:30:06 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:30:09 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → [Errno -2] Name or service not known
2025-10-17 23:30:11 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:30:14 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:30:14 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:30:16 | INFO | monitoring_service | 🧹 Health monitor task cancelled during shutdown
2025-10-17 23:30:16 | INFO | monitoring_service | 🧩 Monitoring service shutdown complete
2025-10-17 23:30:16 | INFO | monitoring_service | 🩺 Monitoring targets: ['data_service', 'strategy_service', 'execution_service', 'risk_service', 'auth_service']
2025-10-17 23:39:47 | INFO | monitoring_service | 📂 File logging enabled: /logs/monitoring_service.log
2025-10-17 23:39:47 | INFO | monitoring_service | 📂 Logging initialized (stdout + optional file)
2025-10-17 23:39:47 | INFO | monitoring_service | ✅ Loaded config from: /app/config/config.yaml
2025-10-17 23:39:47 | INFO | monitoring_service | 🩺 Monitoring targets: ['data_service', 'strategy_service', 'execution_service', 'risk_service', 'auth_service']
2025-10-17 23:39:47 | INFO | monitoring_service | 🚀 Starting Monitoring Service...
2025-10-17 23:39:47 | INFO | monitoring_service | 🕒 Background health monitor started (interval=30s)
2025-10-17 23:39:50 | ERROR | monitoring_service | ❌ data_service unreachable (http://data_service:8080/health) → 
2025-10-17 23:39:50 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.011s]
2025-10-17 23:39:52 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:39:55 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:39:55 | ERROR | monitoring_service | ❌ auth_service unreachable (http://auth_service:8018/health) → All connection attempts failed
2025-10-17 23:40:28 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.004s]
2025-10-17 23:40:28 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.003s]
2025-10-17 23:40:31 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:40:34 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:40:34 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.003s]
2025-10-17 23:40:55 | INFO | monitoring_service | 🧹 Health monitor task cancelled during shutdown
2025-10-17 23:40:55 | INFO | monitoring_service | 🧩 Monitoring service shutdown complete
2025-10-17 23:40:55 | INFO | monitoring_service | 🩺 Monitoring targets: ['data_service', 'strategy_service', 'execution_service', 'risk_service', 'auth_service']
2025-10-17 23:40:58 | INFO | monitoring_service | 📂 File logging enabled: /logs/monitoring_service.log
2025-10-17 23:40:58 | INFO | monitoring_service | 📂 Logging initialized (stdout + optional file)
2025-10-17 23:40:58 | INFO | monitoring_service | ✅ Loaded config from: /app/config/config.yaml
2025-10-17 23:40:58 | INFO | monitoring_service | 🩺 Monitoring targets: ['data_service', 'strategy_service', 'execution_service', 'risk_service', 'auth_service']
2025-10-17 23:40:58 | INFO | monitoring_service | 🚀 Starting Monitoring Service...
2025-10-17 23:40:58 | INFO | monitoring_service | 🕒 Background health monitor started (interval=30s)
2025-10-17 23:40:58 | ERROR | monitoring_service | ❌ data_service unreachable (http://data_service:8080/health) → All connection attempts failed
2025-10-17 23:40:58 | ERROR | monitoring_service | ❌ strategy_service unreachable (http://strategy_service:8020/health) → All connection attempts failed
2025-10-17 23:41:01 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:41:01 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → All connection attempts failed
2025-10-17 23:41:01 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.003s]
2025-10-17 23:41:34 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.003s]
2025-10-17 23:41:34 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.005s]
2025-10-17 23:41:36 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:41:39 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:41:39 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.004s]
2025-10-17 23:42:13 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:42:13 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:42:15 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
